id,team,season,games_played,wins,losses,ties,ots,points,regular_ot_wins,point_percent,goals_for,goals_allowed,shootout_win,goals_for_per_game,goals_allowed_per_game,pp_percent,pk_percent,shots_per_game,shots_allowed_per_game,faceoff_win_percent
93,Montréal Canadiens,2015-16,82,38,38,0,6,82,33,0.5,216,233,5,2.63,2.84,16.2,81.9,30.5,29.4,50.3
94,Tampa Bay Lightning,2015-16,82,46,31,0,5,97,43,0.591,224,198,3,2.73,2.41,15.8,84,29.3,28.9,49.5
95,Calgary Flames,2015-16,82,35,40,0,7,77,33,0.47,229,257,2,2.79,3.13,17,75.5,29.2,29,48.6
96,Vancouver Canucks,2015-16,82,31,38,0,13,75,26,0.457,186,239,5,2.27,2.91,15.8,81.1,28.2,32.5,45.4
97,St. Louis Blues,2015-16,82,49,24,0,9,107,44,0.652,219,197,5,2.67,2.4,21.5,85.1,30.2,29.7,51.3
98,Florida Pathers,2015-16,82,47,26,0,9,103,40,0.628,232,200,7,2.83,2.44,16.9,79.5,28.8,29.5,50.1
99,Columbus Blue Jackets,2015-16,82,34,40,0,8,76,28,0.463,213,248,6,2.6,3.02,17.3,81,29.1,31.1,49
100,Winnipeg Jets,2015-16,82,35,39,0,8,78,32,0.476,212,236,3,2.59,2.88,14.8,78.4,29.6,29.5,50.3
101,Chicago Blackhawks,2015-16,82,47,26,0,9,103,46,0.628,234,207,1,2.85,2.52,22.6,80.3,30.5,30.8,49.3
102,Dallas Stars,2015-16,82,50,23,0,9,109,48,0.665,265,228,2,3.23,2.78,22.1,82.3,32,28.9,50.2
103,Buffalo Sabres,2015-16,82,35,36,0,11,81,33,0.494,199,215,2,2.43,2.62,18.9,82.6,29.5,30.6,49.4
104,Detroit Red Wings,2015-16,82,41,30,0,11,93,39,0.567,209,219,2,2.55,2.67,18.8,81.5,29.7,29.7,50.5
105,Philadelphia Flyers,2015-16,82,41,27,0,14,96,38,0.585,211,210,3,2.57,2.56,18.9,80.5,31,30.7,51
106,Anaheim Ducks,2015-16,82,46,25,0,11,103,43,0.628,215,188,3,2.62,2.29,23.1,87.2,30.3,27.5,51.9
107,Ottawa Senators,2015-16,82,38,35,0,9,85,32,0.518,230,241,6,2.8,2.94,15.8,75.8,28.4,32.8,50.5
108,Arizona Coyotes,2015-16,82,35,39,0,8,78,34,0.476,208,244,1,2.54,2.98,17.7,77.3,27.6,31,54.7
109,San Jose Sharks,2015-16,82,46,30,0,6,98,42,0.598,237,207,4,2.89,2.52,22.5,80.5,30.4,27.4,50.7
